title,author,publisher,price,original_price,discount,rating,image_url,book_url
Telefon Melefon Yok,Şermin Yaşar,KRONİK KİTAP,"152,71",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12094198/wi:100/wh:true,https://www.kitapyurdu.com/kitap/telefon-melefon-yok/726929.html
Sarı Yüz,R. F. Kuang,İTHAKİ YAYINLARI,"137,50",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12057306/wi:100/wh:true,https://www.kitapyurdu.com/kitap/sari-yuz/718070.html
Basit Türkiye Tarihi,Sevan Nişanyan,LİBERUS,"192,50",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12099288/wi:100/wh:true,https://www.kitapyurdu.com/kitap/basit-turkiye-tarihi/728368.html
Engereğin Gözü,Zülfü Livaneli,İNKILAP KİTABEVİ,"168,03",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11337465/wi:100/wh:true,https://www.kitapyurdu.com/kitap/engeregin-gozu/567598.html
Biomortem / Glia,Serkan Karaismailoğlu,ORTAPİA,"172,54",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12050457/wi:100/wh:true,https://www.kitapyurdu.com/kitap/biomortem-glia/716892.html
Robonlar 2 / Bir Hayal Operasyonu,Mert Arık,TİMAŞ İLK GENÇ,"94,45",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12092676/wi:100/wh:true,https://www.kitapyurdu.com/kitap/robonlar-2-bir-hayal-operasyonu/726415.html
Gökyüzünde Nehirler Var,Elif Şafak,DOĞAN KİTAP,"342,20",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12093955/wi:100/wh:true,https://www.kitapyurdu.com/kitap/gokyuzunde-nehirler-var/727018.html
Güneşsiz 1: Cehennem Diskosu,Jean Christophe Grange,DOĞAN KİTAP,"258,80",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12100229/wi:100/wh:true,https://www.kitapyurdu.com/kitap/gunessiz-1-cehennem-diskosu/726432.html
Erişkin Acil Servis Order-Reçete El Kitabı,Dr. Muhammed Emrullah Yıldırım,KİTAPYURDU DOĞRUDAN YAYINCILIK (KDY),"376,25",,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11918913/wi:100/wh:true,https://www.kitapyurdu.com/kitap/eriskin-acil-servis-orderrecete-el-kitabi/688734.html
Robonlar / Bir Kaçış Operasyonu,Mert Arık,TİMAŞ İLK GENÇ,"77,47",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11961822/wi:100/wh:true,https://www.kitapyurdu.com/kitap/robonlar-bir-kacis-operasyonu/698206.html
Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,DERGAH YAYINLARI,"200,04",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11964184/wi:100/wh:true,https://www.kitapyurdu.com/kitap/saatleri-ayarlama-enstitusu/698820.html
Anne Terliği,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,"85,40",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11993588/wi:100/wh:true,https://www.kitapyurdu.com/kitap/anne-terligi/704691.html
Gece Yarısı Kütüphanesi,Matt Haig,DOMİNGO YAYINEVİ,"177,10",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12077531/wi:100/wh:true,https://www.kitapyurdu.com/kitap/gece-yarisi-kutuphanesi/582550.html
Pediatrik Acil Servis Order-Reçete El Kitabı,Dr. Muhammed Emrullah Yıldırım,KİTAPYURDU DOĞRUDAN YAYINCILIK (KDY),"320,25",,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11918914/wi:100/wh:true,https://www.kitapyurdu.com/kitap/pediatrik-acil-servis-orderrecete-el-kitabi-/688735.html
El Kızı,Orhan Kemal,EVEREST YAYINLARI,"286,90",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12092933/wi:100/wh:true,https://www.kitapyurdu.com/kitap/el-kizi/105360.html
Atomik Alışkanlıklar,James Clear,PEGASUS YAYINLARI,"209,99",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11221036/wi:100/wh:true,https://www.kitapyurdu.com/kitap/atomik-aliskanliklar/540793.html
Martin Eden,Jack London,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,"96,18",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:5158817/wi:100/wh:true,https://www.kitapyurdu.com/kitap/martin-eden/346884.html
Yaşamak,Yu Hua,JAGUAR KİTAP,"140,50",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:1177782/wi:100/wh:true,https://www.kitapyurdu.com/kitap/yasamak/393974.html
Hapı Yuttuk Eczanesi,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,"62,44",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12024062/wi:100/wh:true,https://www.kitapyurdu.com/kitap/hapi-yuttuk-eczanesi/710925.html
